ID,wRealID,nPoint,nIndex,RegAddr,SlaverAddr,DataType,DataOffset
0,1,0,0,7048,1,1,0
1,1,1,1,7049,1,1,0
2,1,2,2,7050,1,1,0
3,1,3,3,7051,1,1,0
4,1,4,4,7052,1,1,0
5,1,5,5,7053,1,1,0
6,1,6,6,7054,1,1,0
7,1,7,7,7055,1,1,0
8,1,8,8,7056,1,1,0
9,1,9,9,7057,1,1,0
10,1,10,10,7058,1,1,0
11,1,11,11,7059,1,1,0
12,1,12,12,7060,1,1,0
13,1,13,13,7061,1,1,0
14,1,14,14,7062,1,1,0
15,1,15,15,7063,1,1,0
16,1,16,16,7064,1,1,0
17,1,17,17,7065,1,1,0
18,1,18,18,7066,1,1,0
19,1,19,19,7067,1,1,0
20,1,20,20,7068,1,1,0
21,1,21,21,7069,2,1,0
22,1,22,22,7070,2,1,0
23,1,23,23,7071,2,1,0
24,1,24,24,7072,2,1,0
25,1,25,25,7073,2,1,0
26,1,26,26,7074,2,1,0
27,1,27,27,7075,2,1,0
28,1,28,28,7076,2,1,0
29,1,29,29,7077,2,1,0
30,1,30,30,7078,2,1,0
31,1,31,31,7079,2,1,0
